OBJECTID,building_name,measured_height,building_class,storeys_above_ground,gameobject_name,lat,long
0,,2.6960,,1,CityEngineMaterial_0_m,1.27436,103.845
1,M HOTEL SINGAPORE,109.2380,"business, trade",36,CityEngineMaterial_1_m,1.27371,103.845
2,,3.2490,,1,CityEngineMaterial_2_m,1.27468,103.847
3,BESTWAY BUILDING,27.1390,"schools, education, research",9,CityEngineMaterial_3_m,1.27373,103.848
4,BESTWAY BUILDING,5.8510,,2,CityEngineMaterial_4_m,1.27432,103.847
5,SHENTON WAY BUS TERMINAL,4.6370,,2,CityEngineMaterial_5_m,1.27290,103.847
6,,2.8070,,1,CityEngineMaterial_6_m,1.27328,103.847
7,,3.8420,,1,CityEngineMaterial_7_m,1.27338,103.847
8,AXA TOWER,251.8150,mixed-use development,84,CityEngineMaterial_8_m,1.27571,103.847
9,,6.0140,,2,CityEngineMaterial_9_m,1.27667,103.847
10,,7.9430,,3,CityEngineMaterial_10_m,1.27654,103.846
11,CLERMONT RESIDENCE,62.0900,habitation,21,CityEngineMaterial_11_m,1.27686,103.846
12,,4.3050,,1,CityEngineMaterial_12_m,1.27678,103.846
13,,5.8420,,2,CityEngineMaterial_13_m,1.27736,103.845
14,,5.8520,,2,CityEngineMaterial_14_m,1.27738,103.845
15,,2.8470,,1,CityEngineMaterial_15_m,1.27733,103.845
16,,3.3470,,1,CityEngineMaterial_16_m,1.27734,103.845
17,,3.0040,,1,CityEngineMaterial_17_m,1.27691,103.845
18,,3.7190,,1,CityEngineMaterial_18_m,1.27692,103.845
19,,3.0100,,1,CityEngineMaterial_19_m,1.27692,103.845
20,GOUCO TOWER,2.9760,"business, trade",1,CityEngineMaterial_20_m,1.27704,103.845
21,,3.4920,,1,CityEngineMaterial_21_m,1.27685,103.845
22,,3.2930,,1,CityEngineMaterial_22_m,1.27675,103.845
23,,5.5680,,2,CityEngineMaterial_23_m,1.27670,103.845
24,,5.0940,,2,CityEngineMaterial_24_m,1.27641,103.845
25,,4.1690,,1,CityEngineMaterial_25_m,1.27653,103.845
26,,4.1790,,1,CityEngineMaterial_26_m,1.27660,103.845
27,TANJONG PAGAR CENTRE,5.1900,"business, trade",2,CityEngineMaterial_27_m,1.27664,103.845
28,,12.3590,,4,CityEngineMaterial_28_m,1.27774,103.845
29,,2.5440,,1,CityEngineMaterial_29_m,1.27718,103.846
30,,6.2180,utility,2,CityEngineMaterial_30_m,1.27801,103.845
31,GOUCO TOWER,6.3740,"business, trade",2,CityEngineMaterial_31_m,1.27705,103.845
32,,2.8720,,1,CityEngineMaterial_32_m,1.27673,103.845
33,,6.1290,,2,CityEngineMaterial_33_m,1.27714,103.846
34,,2.5400,,1,CityEngineMaterial_34_m,1.27734,103.845
35,MAXWELL CHAMBERS,24.7580,"business, trade",8,CityEngineMaterial_35_m,1.27728,103.846
36,,5.7960,,2,CityEngineMaterial_36_m,1.27648,103.845
37,,2.9420,,1,CityEngineMaterial_37_m,1.27865,103.855
38,,2.8430,,1,CityEngineMaterial_38_m,1.27783,103.856
39,,4.7010,,2,CityEngineMaterial_39_m,1.27738,103.854
40,,3.8900,,1,CityEngineMaterial_40_m,1.27763,103.855
41,,3.0520,,1,CityEngineMaterial_41_m,1.27749,103.856
42,,2.0100,,1,CityEngineMaterial_42_m,1.27685,103.856
43,,5.2910,,2,CityEngineMaterial_43_m,1.27608,103.856
44,,3.2270,,1,CityEngineMaterial_44_m,1.27532,103.856
45,,7.6640,,3,CityEngineMaterial_45_m,1.27603,103.855
46,,2.5100,,1,CityEngineMaterial_46_m,1.27499,103.855
47,,2.6630,,1,CityEngineMaterial_47_m,1.27524,103.855
48,,2.4300,,1,CityEngineMaterial_48_m,1.27600,103.854
49,,4.4340,,1,CityEngineMaterial_49_m,1.27567,103.854
50,,4.3160,,1,CityEngineMaterial_50_m,1.27692,103.854
51,,0.7930,,0,CityEngineMaterial_51_m,1.27697,103.854
52,,1.1360,,0,CityEngineMaterial_52_m,1.27718,103.854
53,,3.2840,,1,CityEngineMaterial_53_m,1.27728,103.854
54,,6.5540,,2,CityEngineMaterial_54_m,1.27572,103.855
55,,6.9570,,2,CityEngineMaterial_55_m,1.27650,103.854
56,,1.4050,,0,CityEngineMaterial_56_m,1.27482,103.854
57,,6.3060,,2,CityEngineMaterial_57_m,1.27395,103.854
58,,6.2940,,2,CityEngineMaterial_58_m,1.27400,103.854
59,,6.3040,,2,CityEngineMaterial_59_m,1.27397,103.854
60,,6.2810,,2,CityEngineMaterial_60_m,1.27394,103.854
61,,3.2340,,1,CityEngineMaterial_61_m,1.27405,103.854
62,,11.6170,,4,CityEngineMaterial_62_m,1.27400,103.854
63,,2.3180,,1,CityEngineMaterial_63_m,1.27396,103.854
64,,3.0510,,1,CityEngineMaterial_64_m,1.27401,103.854
65,,3.2300,,1,CityEngineMaterial_65_m,1.27444,103.853
66,,2.7610,,1,CityEngineMaterial_66_m,1.27449,103.853
67,,2.2560,,1,CityEngineMaterial_67_m,1.27446,103.853
68,,2.0380,,1,CityEngineMaterial_68_m,1.27446,103.853
69,,1.9280,,1,CityEngineMaterial_69_m,1.27444,103.853
70,,2.6380,,1,CityEngineMaterial_70_m,1.27455,103.853
71,,2.2230,,1,CityEngineMaterial_71_m,1.27456,103.853
72,,2.2670,,1,CityEngineMaterial_72_m,1.27462,103.853
73,,2.7930,,1,CityEngineMaterial_73_m,1.27464,103.853
74,,2.9700,,1,CityEngineMaterial_74_m,1.27465,103.853
75,,3.5890,,1,CityEngineMaterial_75_m,1.27482,103.853
76,,3.0500,,1,CityEngineMaterial_76_m,1.27473,103.853
77,,0.8390,,0,CityEngineMaterial_77_m,1.27486,103.852
78,,1.9850,,1,CityEngineMaterial_78_m,1.27505,103.852
79,,2.6720,,1,CityEngineMaterial_79_m,1.27451,103.852
80,,2.9130,,1,CityEngineMaterial_80_m,1.27444,103.852
81,,2.6930,,1,CityEngineMaterial_81_m,1.27466,103.852
82,,3.1610,,1,CityEngineMaterial_82_m,1.27456,103.852
83,,2.8030,,1,CityEngineMaterial_83_m,1.27490,103.852
84,,2.2540,,1,CityEngineMaterial_84_m,1.27484,103.852
85,,1.5250,,1,CityEngineMaterial_85_m,1.27483,103.852
86,,2.3010,,1,CityEngineMaterial_86_m,1.27455,103.852
87,,2.3880,,1,CityEngineMaterial_87_m,1.27457,103.852
88,,2.5850,,1,CityEngineMaterial_88_m,1.27465,103.851
89,,3.3520,,1,CityEngineMaterial_89_m,1.27471,103.851
90,,3.1590,,1,CityEngineMaterial_90_m,1.27477,103.851
91,,2.5310,,1,CityEngineMaterial_91_m,1.27487,103.851
92,,2.2490,,1,CityEngineMaterial_92_m,1.27490,103.851
